chunk_id,orthogonal_time,linear_time,parousia,rome_iron_city,anamnesis,entelechy,logos,the_divine,gnosticism,two_source_cosmology,dreaming,childhood,death_rebirth,judgment,dionysos,zebra,valis_entity,pink_light,information,hologram,symmetry_breaking,music,fish_sign,maze,android,drug_perception,writing_process,garden,cat,rat
1975-02-27_Claudia_01,High,High,High,High,0,High,Low,High,0,Medium,High,Medium,Medium,Medium,Low,0,0,0,0,0,Low,Medium,0,Low,Medium,High,0,0,Medium,High
1975-02-27_Claudia_02,Low,Medium,Medium,0,0,High,0,High,0,Medium,0,Medium,High,High,0,0,0,0,0,0,0,0,Low,Low,0,Medium,0,0,Medium,High
1975-02-27_Claudia_03,Medium,Low,0,0,0,Low,0,High,0,Low,Medium,High,High,0,Low,0,0,0,0,0,0,0,High,0,0,Medium,Medium,0,0,Medium
1975-02-27_Claudia_04,Low,0,0,0,0,0,0,0,0,0,Low,0,Medium,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1975-03-02_Phyllis_01,0,0,0,0,0,0,0,Low,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Low,Medium,0,0,Low
1975-03-04_SECTION_006_01,0,0,Low,Low,Low,0,0,High,0,Low,Low,Low,Medium,0,High,0,0,0,0,0,Medium,0,0,0,0,0,Low,0,Medium,Medium
1975-03-05_Ursula_01,High,High,0,0,0,0,Medium,High,0,High,High,Low,High,0,Medium,0,0,0,0,Low,0,0,0,0,Low,Low,Medium,0,Low,High
1975-03-05_Ursula_02,Low,Low,0,0,0,0,Low,Low,0,Low,High,0,Medium,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1975-09-15_SECTION_012_01,0,Low,Medium,0,0,0,Medium,High,Medium,0,Medium,Low,Medium,Low,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Medium,High
1975-09-15_SECTION_012_02,0,0,Medium,High,0,0,High,High,0,Medium,High,0,Medium,Medium,Low,0,0,0,0,0,0,0,Low,Low,0,0,Medium,0,0,High
1975-09-15_SECTION_012_03,0,Medium,Low,High,Medium,0,High,High,0,High,Medium,0,Low,0,0,0,Medium,0,Low,0,Low,0,High,0,0,0,Low,Low,Medium,High
1975-09-15_SECTION_012_04,0,0,0,0,Medium,0,0,High,0,0,High,Low,Low,0,0,0,High,0,0,0,0,0,Medium,0,0,Low,Low,0,Medium,Medium
1975-09-17_Doris_01,0,0,0,0,0,0,High,High,0,Low,Low,0,High,0,0,0,0,0,0,0,0,0,0,0,0,Medium,Low,0,Medium,Medium
1975-11-05_SECTION_013_01,0,0,0,0,0,0,High,High,0,Low,Low,0,Medium,0,0,0,0,0,Medium,0,0,Low,0,0,0,0,Medium,0,Medium,High
1975-11-05_SECTION_013_02,0,0,0,0,0,0,Medium,High,0,Medium,High,Medium,Medium,0,0,0,0,0,0,0,0,0,0,0,0,0,Medium,0,Low,High
1975-11-05_SECTION_013_03,0,0,0,0,0,0,Medium,High,Medium,Medium,High,0,Medium,0,0,0,0,0,0,0,0,0,0,Low,0,0,Medium,0,Medium,Medium
1975-11-05_SECTION_013_04,0,0,0,0,Low,0,High,High,High,0,Medium,0,Medium,0,High,0,0,0,Low,0,0,0,Medium,0,0,Low,0,0,Medium,Medium
