person_id,name,total_mentions,role_in_document,relation_to_author,associated_sections,notes
P001,God,7811,,,,
P002,Christ,5402,,,,
P003,VALIS,4755,,,,
P004,Thomas,1702,,,,
P005,Zebra,1237,,,,
P006,Logos,1068,,,,
P007,Jesus,1034,,,,
P008,Holy Spirit,903,,,,
P009,Sophia,779,,,,
P010,Plato,736,,,,
P011,Spinoza,325,,,,
P012,Dionysos,305,,,,
P013,Parmenides,218,,,,
P014,Plotinus,216,,,,
P015,Nixon,188,,,,
P016,Pythagoras,164,,,,
P017,Firebright,149,,,,
P018,Fat,135,,,,
P019,Pinky,133,,,,
P020,Boehme,107,,,,
P021,Heidegger,107,,,,
P022,Heraclitus,102,,,,
P023,Hegel,99,,,,
P024,Aristotle,96,,,,
P025,Tony,95,,,,
P026,Dante,88,,,,
P027,Empedocles,87,,,,
P028,Augustine,81,,,,
P029,Apollo,81,,,,
P030,Palmer Eldritch,72,,,,
P031,Beethoven,71,,,,
P032,Dionysus,69,,,,
P033,Jung,65,,,,
P034,Whitehead,63,,,,
P035,Tessa,62,,,,
P036,Laura,62,,,,
P037,Zeus,60,,,,
P038,Pat,55,,,,
P039,Doris,53,,,,
P040,Xenophanes,52,,,,
P041,Angel Archer,50,,,,
P042,Mani,49,,,,
P043,Jim Pike,46,,,,
P044,Calvin,44,,,,
P045,Jason Taverner,44,,,,
P046,Christopher,39,,,,
P047,Erasmus,39,,,,
P048,Aphrodite,37,,,,
P049,Luther,36,,,,
P050,Eckhart,34,,,,
P051,Tagomi,31,,,,
P052,Horselover Fat,30,,,,
P053,Isa,27,,,,
P054,Simon Magus,26,,,,
P055,Claudia,25,,,,
P056,St. Paul,23,,,,
P057,Ursula,23,,,,
P058,Tony Boucher,22,,,,
P059,Tillich,21,,,,
P060,Joe Chip,20,,,,
P061,Wagner,17,,,,
P062,Anne,15,,,,
P063,Juliana,14,,,,
P064,Virgil,13,,,,
P065,Freud,13,,,,
P066,Henry,9,,,,
P067,Goethe,9,,,,
P068,Dorothy,6,,,,
P069,Donna,6,,,,
P070,Kozyrev,6,,,,
P071,Frank Frink,5,,,,
P072,Mozart,4,,,,
P073,Rog Phillips,3,,,,
P074,Phyllis,3,,,,
P075,Dr. Ornstein,3,,,,
P076,Barris,3,,,,
P077,Bob Arctor,3,,,,
P078,Valentinus,3,,,,
P079,Mr. Wiggins,2,,,,
P080,Athena,2,,,,
P081,Glen Runciter,1,,,,
P082,Bishop Pike,1,,,,
P083,Marcion,1,,,,
P084,Basilides,1,,,,
P085,Victoria Principal,1,,,,
P086,Tim Powers,1,,,,
P087,Timothy Archer,1,,,,
